n,matcher_time_seconds,verifier_time_seconds
1,3.500143066048622e-06,0.00017090002074837685
2,4.899920895695686e-06,0.00017710006795823574
4,7.899943739175797e-06,0.00018609990365803242
8,1.4899997040629387e-05,0.00022749998606741428
16,3.160000778734684e-05,0.0003924998454749584
32,0.0001050001010298729,0.0009198999032378197
64,0.0003378998953849077,0.003052900079637766
128,0.001328800106421113,0.012426899978891015
256,0.004918600199744105,0.05235709995031357
512,0.02634610002860427,0.27722400007769465
1024,0.11402680003084242,1.3188469000160694
2048,0.4074576999992132,5.653796300059184
